State,County,CountyID,Population Change Abs,Pop Change (%),Attribute,Value
CA,ContraCosta ,ContraCosta CA,104322,9.942966287,2010,1052540
CA,ContraCosta ,ContraCosta CA,104322,9.942966287,2011,1065440
CA,ContraCosta ,ContraCosta CA,104322,9.942966287,2012,1077548
CA,ContraCosta ,ContraCosta CA,104322,9.942966287,2013,1093401
CA,ContraCosta ,ContraCosta CA,104322,9.942966287,2014,1108876
CA,ContraCosta ,ContraCosta CA,104322,9.942966287,2015,1124405
CA,ContraCosta ,ContraCosta CA,104322,9.942966287,2016,1137268
CA,ContraCosta ,ContraCosta CA,104322,9.942966287,2017,1145535
CA,ContraCosta ,ContraCosta CA,104322,9.942966287,2018,1150519
CA,ContraCosta ,ContraCosta CA,104322,9.942966287,2019,1153526
CA,Yolo,YoloCA,19645,9.780687561,2010,201073
CA,Yolo,YoloCA,19645,9.780687561,2011,201954
CA,Yolo,YoloCA,19645,9.780687561,2012,204576
CA,Yolo,YoloCA,19645,9.780687561,2013,206292
CA,Yolo,YoloCA,19645,9.780687561,2014,208398
CA,Yolo,YoloCA,19645,9.780687561,2015,212037
CA,Yolo,YoloCA,19645,9.780687561,2016,215627
CA,Yolo,YoloCA,19645,9.780687561,2017,218477
CA,Yolo,YoloCA,19645,9.780687561,2018,220118
CA,Yolo,YoloCA,19645,9.780687561,2019,220500
CA,SanFrancisco,SanFranciscoCA,76365,9.484167594,2010,805505
CA,SanFrancisco,SanFranciscoCA,76365,9.484167594,2011,815650
CA,SanFrancisco,SanFranciscoCA,76365,9.484167594,2012,828876
CA,SanFrancisco,SanFranciscoCA,76365,9.484167594,2013,839572
CA,SanFrancisco,SanFranciscoCA,76365,9.484167594,2014,850750
CA,SanFrancisco,SanFranciscoCA,76365,9.484167594,2015,863010
CA,SanFrancisco,SanFranciscoCA,76365,9.484167594,2016,871512
CA,SanFrancisco,SanFranciscoCA,76365,9.484167594,2017,878040
CA,SanFrancisco,SanFranciscoCA,76365,9.484167594,2018,880696
CA,SanFrancisco,SanFranciscoCA,76365,9.484167594,2019,881549
CO,Weld,WeldCO,71665,28.34546943,2010,254207
CO,Weld,WeldCO,71665,28.34546943,2011,258827
CO,Weld,WeldCO,71665,28.34546943,2012,264131
CO,Weld,WeldCO,71665,28.34546943,2013,270165
CO,Weld,WeldCO,71665,28.34546943,2014,277112
CO,Weld,WeldCO,71665,28.34546943,2015,285819
CO,Weld,WeldCO,71665,28.34546943,2016,295712
CO,Weld,WeldCO,71665,28.34546943,2017,305885
CO,Weld,WeldCO,71665,28.34546943,2018,314815
CO,Weld,WeldCO,71665,28.34546943,2019,324492
CO,Broomfield,BroomfieldCO,14604,26.14346324,2010,56226
CO,Broomfield,BroomfieldCO,14604,26.14346324,2011,57493
CO,Broomfield,BroomfieldCO,14604,26.14346324,2012,58971
CO,Broomfield,BroomfieldCO,14604,26.14346324,2013,60149
CO,Broomfield,BroomfieldCO,14604,26.14346324,2014,61764
CO,Broomfield,BroomfieldCO,14604,26.14346324,2015,64866
CO,Broomfield,BroomfieldCO,14604,26.14346324,2016,66513
CO,Broomfield,BroomfieldCO,14604,26.14346324,2017,68263
CO,Broomfield,BroomfieldCO,14604,26.14346324,2018,69324
CO,Broomfield,BroomfieldCO,14604,26.14346324,2019,70465
CO,Douglas,DouglasCO,65689,23.0112273,2010,286977
CO,Douglas,DouglasCO,65689,23.0112273,2011,292548
CO,Douglas,DouglasCO,65689,23.0112273,2012,298708
CO,Douglas,DouglasCO,65689,23.0112273,2013,306234
CO,Douglas,DouglasCO,65689,23.0112273,2014,314545
CO,Douglas,DouglasCO,65689,23.0112273,2015,322025
CO,Douglas,DouglasCO,65689,23.0112273,2016,328219
CO,Douglas,DouglasCO,65689,23.0112273,2017,335816
CO,Douglas,DouglasCO,65689,23.0112273,2018,342989
CO,Douglas,DouglasCO,65689,23.0112273,2019,351154
CO,Denver,DenverCO,127386,21.23719418,2010,603359
CO,Denver,DenverCO,127386,21.23719418,2011,620530
CO,Denver,DenverCO,127386,21.23719418,2012,635163
CO,Denver,DenverCO,127386,21.23719418,2013,649391
CO,Denver,DenverCO,127386,21.23719418,2014,664582
CO,Denver,DenverCO,127386,21.23719418,2015,683285
CO,Denver,DenverCO,127386,21.23719418,2016,696159
CO,Denver,DenverCO,127386,21.23719418,2017,704961
CO,Denver,DenverCO,127386,21.23719418,2018,716265
CO,Denver,DenverCO,127386,21.23719418,2019,727211
CO,Custer,CusterCO,817,19.21900729,2010,4279
CO,Custer,CusterCO,817,19.21900729,2011,4225
CO,Custer,CusterCO,817,19.21900729,2012,4219
CO,Custer,CusterCO,817,19.21900729,2013,4261
CO,Custer,CusterCO,817,19.21900729,2014,4340
CO,Custer,CusterCO,817,19.21900729,2015,4434
CO,Custer,CusterCO,817,19.21900729,2016,4588
CO,Custer,CusterCO,817,19.21900729,2017,4857
CO,Custer,CusterCO,817,19.21900729,2018,4934
CO,Custer,CusterCO,817,19.21900729,2019,5068
CT,Fairfield,FairfieldCT,26428,2.88230829,2010,919355
CT,Fairfield,FairfieldCT,26428,2.88230829,2011,928000
CT,Fairfield,FairfieldCT,26428,2.88230829,2012,935099
CT,Fairfield,FairfieldCT,26428,2.88230829,2013,939924
CT,Fairfield,FairfieldCT,26428,2.88230829,2014,944196
CT,Fairfield,FairfieldCT,26428,2.88230829,2015,944943
CT,Fairfield,FairfieldCT,26428,2.88230829,2016,944347
CT,Fairfield,FairfieldCT,26428,2.88230829,2017,943038
CT,Fairfield,FairfieldCT,26428,2.88230829,2018,943971
CT,Fairfield,FairfieldCT,26428,2.88230829,2019,943332
CT,Hartford,HartfordCT,-2332,-0.26083494,2010,895236
CT,Hartford,HartfordCT,-2332,-0.26083494,2011,896864
CT,Hartford,HartfordCT,-2332,-0.26083494,2012,897706
CT,Hartford,HartfordCT,-2332,-0.26083494,2013,897678
CT,Hartford,HartfordCT,-2332,-0.26083494,2014,897407
CT,Hartford,HartfordCT,-2332,-0.26083494,2015,896290
CT,Hartford,HartfordCT,-2332,-0.26083494,2016,894141
CT,Hartford,HartfordCT,-2332,-0.26083494,2017,893076
CT,Hartford,HartfordCT,-2332,-0.26083494,2018,892580
CT,Hartford,HartfordCT,-2332,-0.26083494,2019,891720
CT,NewHaven,NewHavenCT,-7685,-0.891074414,2010,863357
CT,NewHaven,NewHavenCT,-7685,-0.891074414,2011,863871
CT,NewHaven,NewHavenCT,-7685,-0.891074414,2012,864566
CT,NewHaven,NewHavenCT,-7685,-0.891074414,2013,862820
CT,NewHaven,NewHavenCT,-7685,-0.891074414,2014,862885
CT,NewHaven,NewHavenCT,-7685,-0.891074414,2015,860186
CT,NewHaven,NewHavenCT,-7685,-0.891074414,2016,857901
CT,NewHaven,NewHavenCT,-7685,-0.891074414,2017,857748
CT,NewHaven,NewHavenCT,-7685,-0.891074414,2018,856971
CT,NewHaven,NewHavenCT,-7685,-0.891074414,2019,854757
CT,Tolland,TollandCT,-2026,-1.326376295,2010,153239
CT,Tolland,TollandCT,-2026,-1.326376295,2011,153050
CT,Tolland,TollandCT,-2026,-1.326376295,2012,151967
CT,Tolland,TollandCT,-2026,-1.326376295,2013,151778
CT,Tolland,TollandCT,-2026,-1.326376295,2014,151693
CT,Tolland,TollandCT,-2026,-1.326376295,2015,151734
CT,Tolland,TollandCT,-2026,-1.326376295,2016,151162
CT,Tolland,TollandCT,-2026,-1.326376295,2017,151009
CT,Tolland,TollandCT,-2026,-1.326376295,2018,150689
CT,Tolland,TollandCT,-2026,-1.326376295,2019,150721
CT,Windham,WindhamCT,-1598,-1.349890184,2010,118544
CT,Windham,WindhamCT,-1598,-1.349890184,2011,118315
CT,Windham,WindhamCT,-1598,-1.349890184,2012,117914
CT,Windham,WindhamCT,-1598,-1.349890184,2013,117500
CT,Windham,WindhamCT,-1598,-1.349890184,2014,116752
CT,Windham,WindhamCT,-1598,-1.349890184,2015,116487
CT,Windham,WindhamCT,-1598,-1.349890184,2016,116102
CT,Windham,WindhamCT,-1598,-1.349890184,2017,116398
CT,Windham,WindhamCT,-1598,-1.349890184,2018,117059
